subject,datestamp,timestamp,version,crt1,crt2,crt3,id
AGFWV1U4CJXP5_m3r5,2014-09-10,15:19:16,la_moral_3p_random,10,100,24,736
A12IOD8IXOEL1P_m3r5,2014-09-10,15:19:24,la_moral_3p_random,0,5,47,737
AZ4WAAJL6LK6R_m3r5,2014-09-10,15:20:57,la_moral_3p_random,1,100,24,738
AE6Z9DDYUCLKN_m3r5,2014-09-10,15:21:00,la_moral_3p_random,5,5,47,739
A2V1IB3LHMWL25_m3r5,2014-09-10,15:21:29,la_moral_3p_random,0,100,16,740
A3Q0XAGQ7TD7MP_m3r5,2014-09-10,15:22:00,la_moral_3p_random,0,6,47,741
A1JLOL8CV81AL2_m3r5,2014-09-10,15:22:08,la_moral_3p_random,5,5,5,742
A2AVWXK2DZHYCM_m3r5,2014-09-10,15:22:16,la_moral_3p_random,0,5,47,743
A2XFJC0VE4U399_m3r5,2014-09-10,15:22:58,la_moral_3p_random,5,5,47,744
AK7LGB1QOGA1P_m3r5,2014-09-10,15:23:08,la_moral_3p_random,5,5,47,745
AK7OWBZVKPS5Q_m3r5,2014-09-10,15:23:26,la_moral_3p_random,1,5,47,746
A2RCJ3VBQ7HZUP_m3r5,2014-09-10,15:24:39,la_moral_3p_random,5,5,47,747
A2QUPVFM02G1AI_m3r5,2014-09-10,15:24:44,la_moral_3p_random,5,5,47,748
A2EX2FN2F4HN3C_m3r5,2014-09-10,15:25:24,la_moral_3p_random,10,100,24,749
AHZPOM46IUJ2N_m3r5,2014-09-10,15:25:30,la_moral_3p_random,0,100,47,750
AVWHUV64C4K5T_m3r5,2014-09-10,15:25:34,la_moral_3p_random,0,100,24,751
A2TIV553DM68N7_m3r5,2014-09-10,15:25:45,la_moral_3p_random,5,5,47,752
A2VI7IXMQ8E1Q7_m3r5,2014-09-10,15:25:47,la_moral_3p_random,10,100,24,753
A3DZ46U9XRLVBI_m3r5,2014-09-10,15:25:57,la_moral_3p_random,0,500,47,754
A3A77DHOTOD88B_m3r5,2014-09-10,15:26:09,la_moral_3p_random,0,100,48,755
A1IYFXLF8HPO0G_m3r5,2014-09-10,15:26:11,la_moral_3p_random,0,100,47,756
A1DGAZZZHY4FXG_m3r5,2014-09-10,15:26:22,la_moral_3p_random,5,1,47,757
A3O9DM10HVQDE0_m3r5,2014-09-10,15:26:29,la_moral_3p_random,10,100,24,758
A1QCQE5XW37LN1_m3r5,2014-09-10,15:28:16,la_moral_3p_random,5,5,47,759
A21ZPWERX0DMZ2_m3r5,2014-09-10,15:30:33,la_moral_3p_random,10,100,47,760
A2NRW37D7QPLRE_m3r5,2014-09-10,15:33:47,la_moral_3p_random,5,5,47,761
A2ZSDMCQ5P0BJJ_m3r5,2014-09-10,15:34:59,la_moral_3p_random,0,5,47,762
A2BA9Y6VGW6WS1_m3r5,2014-09-10,15:52:50,la_moral_3p_random,0,5,47,763
AO7FM98CP90CL_m3r5,2014-09-10,15:53:54,la_moral_3p_random,10,5,47,764
A22M4NS65GY000_m3r5,2014-09-10,16:02:32,la_moral_3p_random,5,5,47,765
A3GYL70SZLQAU_m3r5,2014-09-10,16:09:56,la_moral_3p_random,10,100,24,766
A3DLKEN1H17CCE_m3r5,2014-09-10,16:13:10,la_moral_3p_random,10,5,47,767
A3N6U6XPU8TEWJ_m3r5,2014-09-10,16:14:48,la_moral_3p_random,5,5,12,768
A3FYSDFRZF4T8_m3r5,2014-09-10,16:21:33,la_moral_3p_random,0,5,47,769
A37GPRSEZORJRG_m3r5,2014-09-10,16:40:56,la_moral_3p_random,2,60,916,770
A248ARSA6FS20S_m3r5,2014-09-10,16:42:31,la_moral_3p_random,5,5,47,771
A3E4DS46A6IJTZ_m3r5,2014-09-10,16:42:42,la_moral_3p_random,10,100,24,772
ABFB5IVNTYM4E_m3r5,2014-09-10,16:42:44,la_moral_3p_random,10,5,47,773
A2E8RFKIOY2MQR_m3r5,2014-09-10,16:42:59,la_moral_3p_random,0,100,24,774
AZFJ4Y7VFQBDH_m3r5,2014-09-10,16:45:45,la_moral_3p_random,5,5,47,775
A14CZH0LPHBX79_m3r5,2014-09-10,16:47:05,la_moral_3p_random,10,100,47,776
AGJM3414MUSEH_m3r5,2014-09-10,17:09:11,la_moral_3p_random,5,5,47,777
A2YAB9OITN0ZTU_m3r5,2014-09-10,17:22:35,la_moral_3p_random,0,10,12,778
A1HTJ7Q459GY2K_m3r5,2014-09-10,17:26:00,la_moral_3p_random,10,5,24,779
A1RT9SQ9D9DLOV_m3r5,2014-09-11,11:03:09,la_moral_3p_random,5,5,47,780
A2IZNMRW4C4XM6_m3r5,2014-09-11,11:03:38,la_moral_3p_random,0,15,48,781
A2YIM8S1MZCKDY_m3r5,2014-09-11,11:03:41,la_moral_3p_random,5,5,47,782
A2OL18MGK5LEO7_m3r5,2014-09-11,11:05:25,la_moral_3p_random,0,5,4,783
AFM3QI2ZYSVW7_m3r5,2014-09-11,11:06:25,la_moral_3p_random,5,5,47,784
A3LGJHPZCD8PQA_m3r5,2014-09-11,11:06:34,la_moral_3p_random,10,5,47,785
A1R2W9OYQQRZTS_m3r5,2014-09-11,11:06:57,la_moral_3p_random,10,100,4,786
A1H11P4QSM08Y1_m3r5,2014-09-11,11:07:11,la_moral_3p_random,0,5,47,787
A3M5WW7OCUAWX0_m3r5,2014-09-11,11:07:56,la_moral_3p_random,5,5,47,788
" AR24CTAWN9GI0_m3r5",2014-09-11,11:08:04,la_moral_3p_random,10,100,24,789
AS9YQPH511Z94_m3r5,2014-09-11,11:08:55,la_moral_3p_random,5,5,47,790
A1GKLOBYNF70C7_m3r5,2014-09-11,11:08:57,la_moral_3p_random,0,100,24,791
A2CR879QNKLWCS_m3r5,2014-09-11,11:09:29,la_moral_3p_random,0,5,47,792
AILW5LUTC11C9_m3r5,2014-09-11,11:09:33,la_moral_3p_random,0,500,2,793
A1OP4BATW0TUUG_m3r5,2014-09-11,11:10:05,la_moral_3p_random,0,5,47,794
A34YD9P7KI4RF_m3r5,2014-09-11,11:10:15,la_moral_3p_random,0,5,26,795
AEF74ZYJTTEIA_m3r5,2014-09-11,11:10:16,la_moral_3p_random,5,5,47,796
AM2WGEJDWJY1I_m3r5,2014-09-11,11:10:40,la_moral_3p_random,5,5,47,797
" A37Y5CTJ8HCQER_m3r5",2014-09-11,11:10:45,la_moral_3p_random,10,100,28,798
A302M81U0HM7RJ_m3r5,2014-09-11,11:10:51,la_moral_3p_random,5,10,47,799
A1DVXQV6GGSQRX_m3r5,2014-09-11,11:11:18,la_moral_3p_random,10,100,24,800
A1VJ18RHIN82NA_m3r5,2014-09-11,11:11:32,la_moral_3p_random,10,100,24,801
AMKRYRENIXK2H_m3r5,2014-09-11,11:12:28,la_moral_3p_random,5,5,47,802
A3VQP1UC7BA3YU_m3r5,2014-09-11,11:15:13,la_moral_3p_random,10,100,24,803
A3OW5EFQ5QFD19_m3r5,2014-09-11,11:15:42,la_moral_3p_random,0,1,47,804
A3V33XEK4JWVH8_m3r5,2014-09-11,11:15:54,la_moral_3p_random,10,100,24,805
ATM90U6E6YN65_m3r5,2014-09-11,11:17:22,la_moral_3p_random,5,5,47,806
A34SLHI93BBV9E_m3r5,2014-09-11,11:19:12,la_moral_3p_random,5,5,47,807
ABNNSRB6Y5EFR_m3r5,2014-09-11,11:19:24,la_moral_3p_random,10,5,24,808
"A348EDOF2UP527 _m3r5",2014-09-11,11:21:33,la_moral_3p_random,10,100,24,809
A2MQC8KZ8DOON1_m3r5,2014-09-11,11:22:15,la_moral_3p_random,5,5,47,810
A2S9O48PW9D2IP_m3r5,2014-09-11,11:24:31,la_moral_3p_random,0,100,47,811
A3GTBI5WIB5SC_m3r5,2014-09-11,11:24:47,la_moral_3p_random,0,5,47,812
AI258R8HU53PT_m3r5,2014-09-11,11:26:51,la_moral_3p_random,5,5,47,813
