subject,datestamp,timestamp,version,pur1,pur2,pur3,id
AU0NZI2T3R792_m3r5,2014-08-19,17:05:38,lossave_moral,6,7,6,421
A1SIJ3BJFDZ8CU_m3r5,2014-08-19,17:05:38,lossave_moral,6,7,6,422
A2XTUQ4CD1LF2K_m3r5,2014-08-19,17:05:46,lossave_moral,7,5,4,423
AISWQM71RW9A2_m3r5,2014-08-19,17:05:51,lossave_moral,5,5,3,424
A2ZE2IPHK152KA_m3r5,2014-08-19,17:05:54,lossave_moral,7,7,6,425
A2IFAPS9K2J2QC_m3r5,2014-08-19,17:06:06,lossave_moral,2,2,1,426
A1FZJ3S9CN8Z7T_m3r5,2014-08-19,17:06:14,lossave_moral,4,5,2,427
A2QQFGD7K7AHK8_m3r5,2014-08-19,17:06:46,lossave_moral,4,7,4,428
A2EP2TI8HE8EGK_m3r5,2014-08-19,17:07:14,lossave_moral,4,6,4,429
AKG7VBOY97HKA_m3r5,2014-08-19,17:07:20,lossave_moral,5,3,3,430
A3938KLA9ORH2U_m3r5,2014-08-19,17:07:25,lossave_moral,6,7,7,431
A2KPT0PEUEXCC4_m3r5,2014-08-19,17:07:28,lossave_moral,7,6,4,432
A3J55BJGV95JKH_m3r5,2014-08-19,17:07:31,lossave_moral,7,7,7,433
A3U3JYF64SJ4EJ_m3r5,2014-08-19,17:07:34,lossave_moral,4,7,4,434
A3JTR8H8X5WF11_m3r5,2014-08-19,17:07:46,lossave_moral,7,7,6,435
A2Y0ZGI29KQBTB_m3r5,2014-08-19,17:07:49,lossave_moral,1,1,1,436
A1CUIN1FSZCM50_m3r5,2014-08-19,17:07:51,lossave_moral,7,7,1,437
A1EPR9V3VID3RI_m3r5,2014-08-19,17:08:05,lossave_moral,7,7,1,438
A2GZI3UFOTY969_m3r5,2014-08-19,17:08:09,lossave_moral,7,7,1,439
AKB1IT758U2LU_m3r5,2014-08-19,17:08:09,lossave_moral,7,7,7,440
