subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
A1US9EJYVBJG4E_m3r5,8/19/2014,18:12:45,lossave_moral,0,100,96,548,0,,,,
A1VZSFHTU51JP0_m3r5,8/19/2014,19:07:33,lossave_moral,10,100,47,566,1,,,,
A1W36Q5THCHYUZ_m3r5,8/19/2014,17:32:36,lossave_moral,10,100,24,510,0,,,,
A1W642DZKSARRI_m3r5,8/19/2014,17:08:44,lossave_moral,5,5,47,334,3,,,,
A1WCAXCHWZPTFQ_m3r5,8/19/2014,17:07:56,lossave_moral,5,5,47,329,3,,,,
A1XB4TAGJDNMR_m3r5,8/19/2014,17:30:50,lossave_moral,0,5,47,503,2,,,,
A1XR97XSHB17AB_m3r5,8/19/2014,17:22:39,lossave_moral,5,5,47,434,3,,,,
A1Y3PGC0UILVJJ_m3r5,8/19/2014,17:05:37,lossave_moral,5,5,47,309,3,,,,
A1Y8279NEP16J7_m3r5,8/19/2014,17:11:22,lossave_moral,10,100,24,353,0,,,,
A1YXVEUYY3TIYS_m3r5,8/19/2014,19:29:18,lossave_moral,0,100,24,572,0,,,,
A1ZKLXSO7XLNZM_m3r5,8/19/2014,17:12:12,lossave_moral,5,5,47,361,3,,,,
A21EPR8KW0GWX2_m3r5,8/19/2014,17:21:13,lossave_moral,5,5,47,423,3,,,,
A22JDX98OTND6F_m3r5,8/19/2014,17:14:44,lossave_moral,10,100,24,383,0,,,,
A22KRF782ELLB0_m3r5,8/19/2014,17:26:29,lossave_moral,5,5,47,467,3,,,,
A23N4SC7GRNAIG_m3r5,8/19/2014,17:32:12,lossave_moral,0,1,47,508,1,,,,
A23O7BIKKPOZ2L_m3r5,8/19/2014,17:07:10,lossave_moral,0,5,47,322,2,,,,
A23UGHBSIY45CU_m3r5,8/19/2014,17:29:15,lossave_moral,5,5,47,493,3,,,,
A24FRISMWCU3BX_m3r5,8/19/2014,17:49:38,lossave_moral,0,5,47,530,2,,,,
A2551EKB87S2XY_m3r5,8/19/2014,17:09:12,lossave_moral,0,100,24,338,0,,,,
A25G79VS6OQCHW_m3r5,8/19/2014,17:12:41,lossave_moral,10,100,24,368,0,,,,
A269Z70PE47Z5X_m3r5,8/19/2014,17:26:14,lossave_moral,0,100,28,465,0,,,,
A26F9VP8ELLZC4_m3r5,8/19/2014,17:29:51,lossave_moral,5,5,47,498,3,,,,
A26T6O5EFR54A9_m3r5,8/19/2014,17:31:30,lossave_moral,0,5,47,507,2,,,,
A27BKFN6UB1LDP_m3r5,8/19/2014,17:34:47,lossave_moral,0,100,24,516,0,,,,
A27YJ0L7WMD5G4_m3r5,8/19/2014,18:18:56,lossave_moral,0,100,24,552,0,,,,
A2AFTOA85C1FM9_m3r5,8/19/2014,17:09:57,lossave_moral,5,500,20,344,1,,,,
A2AG0341RLZ2L8_m3r5,8/19/2014,17:28:23,lossave_moral,0,100,3,486,0,,,,
A2ALWT2BUSXD83_m3r5,8/19/2014,17:27:27,lossave_moral,0,5,47,475,2,,,,
A2B5HZBQ6C3J3L_m3r5,8/19/2014,17:18:49,lossave_moral,10,5,24,410,1,,,,
A2BICWCPAW5N7O_m3r5,8/19/2014,19:51:43,lossave_moral,10,100,24,575,0,,,,
A2CWJRAEFZ44HU_m3r5,8/19/2014,17:06:07,lossave_moral,0,10,47,313,1,,,,
A2D2XQP00IZFR1_m3r5,8/19/2014,17:31:14,lossave_moral,5,5,47,505,3,,,,
A2EHH2ZFIRF1BF_m3r5,8/19/2014,18:38:51,lossave_moral,10,5,47,558,2,,,,
